,Unnamed: 0,Rank,Data ID,DOI,Title,Description,Repository,Publication date,Publication year,Dataset author,Associated publication,Dimensions URL,Source linkout,Fields of Research (ANZSRC 2020),RCDC Categories,HRCS HC Categories,HRCS RAC Categories,Health Research Areas,Broad Research Areas,Cancer Types,CSO Categories,Sustainable Development Goals
9035,9035,100,dataset.10546417,10.17182/hepdata.70880.v1/t62,"""Table 62"" of ""Measurement of $\mathrm {t}\overline{\mathrm {t}}$ production with additional jet activity, including $\mathrm {b}$ quark jets, in the dilepton decay channel using pp collisions at $\sqrt{s} =$ 8 TeV""",Gap fraction $f(p_T^{\rm jet})$ as function of leading additional jet transverse momentum $p_T^{\rm jet}$ in the region $1.5,HEPData,1/1/2016,2016,,pub.1041709524,https://app.dimensions.ai/details/data_set/dataset.10546417,https://www.hepdata.net/record/70990,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
7415,7415,100,dataset.10550157,10.17182/hepdata.80815.v1/t5,"""Table 5"" of ""Study of jet quenching with isolated-photon+jet correlations in PbPb and pp collisions at $\sqrt{s_{_{\mathrm{NN}}}} =$ 5.02 TeV""",The $I_{\mathrm{AA}}^{\mathrm{jet}}$ vs. $p_{\mathrm{T}}^{\mathrm{jet}}$ for 0-30% and 30-100% centrality PbPb collisions. Bins for which there are no data points are denoted as 'empty'.,HEPData,1/1/2018,2018,,pub.1106198610,https://app.dimensions.ai/details/data_set/dataset.10550157,https://www.hepdata.net/record/83959,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
7583,7583,100,dataset.10545637,10.17182/hepdata.79809.v1/t45,"""Table 6"" of ""Search for top squarks and dark matter particles in opposite-charge dilepton final states at $\sqrt{s}=$ 13 TeV""","Table 6. Expected and observed event yields, summed over all lepton flavors, in aggregate signal regions.",HEPData,1/1/2018,2018,,pub.1101062406,https://app.dimensions.ai/details/data_set/dataset.10545637,https://www.hepdata.net/record/83003,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1644,1644,100,dataset.57768304,10.17182/hepdata.80168.v2/t18,"""Table 18"" of ""Measurement of charged pion, kaon, and proton production in proton-proton collisions at $\sqrt{s}=13$ TeV""","Measured transverse momentum distributions of identified charged hadrons (PI-, K- and PBAR) at a centre-of-mass energy of 13 TeV for multiplicity class 8 (Nrec=70-79).",HEPData,1/1/2021,2021,,pub.1099613675,https://app.dimensions.ai/details/data_set/dataset.57768304,https://www.hepdata.net/record/82334,49 Mathematical Sciences; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
6937,6937,100,dataset.10559590,10.17182/hepdata.77606.v1/t67,"""Additional Figure 8, Expected ($-1\sigma$)"" of ""A search for new phenomena in pp collisions at $\sqrt{s} = 13\,\text {TeV} $ in final states with missing transverse momentum and at least one jet using the $\alpha _{\mathrm {T}}$ variable""","Upper limit on the cross section in the $(m_{ \tilde{ \mathrm{g} } }, m_{\tilde{\chi}^0_1 })$ plane for the T5ttcc model. This line is the $-1\sigma $ expected exclusion due to experimental uncertainties.",HEPData,1/1/2018,2018,,pub.1085208136,https://app.dimensions.ai/details/data_set/dataset.10559590,https://www.hepdata.net/record/80997,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
6795,6795,100,dataset.10564105,10.17182/hepdata.83010.v1/t12,"""Table 12"" of ""Search for decays of stopped exotic long-lived particles produced in proton-proton collisions at $\sqrt{s}=$ 13 TeV""","The 95% CL upper limits on $\mathcal{B}\sigma$ for gluino pair production, using the cloud model of R-hadron interactions, as a function of lifetime, for combined 2015 and 2016 data for the calorimeter search. We show gluinos that undergo a two-body decay. The discontinuous structure observed between $10^{-7}$ and $10^{-5}$ s is due to the increase of the number of observed events in the search window as the lifetime increases.",HEPData,1/1/2018,2018,,pub.1104240903,https://app.dimensions.ai/details/data_set/dataset.10564105,https://www.hepdata.net/record/83397,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10359,10359,100,dataset.10528336,10.17182/hepdata.69342.v1/t1,"""Table 1"" of ""Measurement of the Cross Section and Angular Correlations for Associated Production of a Z Boson with b Hadrons in pp Collisions at $\sqrt{s} =$ 7 TeV""","Differential cross sections for all p_T^Z, as a function of DeltaR(BB).",HEPData,1/1/2015,2015,,pub.1039732455,https://app.dimensions.ai/details/data_set/dataset.10528336,https://www.hepdata.net/record/69347,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
35,35,100,dataset.94163752,10.25384/sage.21818205.v1,sj-R-2-cmp-10.1177_07388942221147508 - Supplemental material for Rebel institutions and negotiated peace,"Supplemental material, sj-R-2-cmp-10.1177_07388942221147508 for Rebel institutions and negotiated peace by Karen Albert in Conflict Management and Peace Science",SAGE Journals,1/3/2023,2023,Karen Albert,pub.1154236034,https://app.dimensions.ai/details/data_set/dataset.94163752,https://sage.figshare.com/articles/dataset/sj-R-2-cmp-10_1177_07388942221147508_-_Supplemental_material_for_Rebel_institutions_and_negotiated_peace/21818205,44 Human Society; 44 Human Society; 4408 Political Science,,,,,,,,"16 Peace, Justice and Strong Institutions"
7622,7622,100,dataset.10544194,10.17182/hepdata.79809.v1/t7,"""Figure 5a"" of ""Search for top squarks and dark matter particles in opposite-charge dilepton final states at $\sqrt{s}=$ 13 TeV""","Figure 5 (left). Distribution of $M_{T2}(ll)$ of SF events falling within in the Z boson mass window with at least two jets and no b jet, $p_{T}^{miss} > 80$ GeV and $M_{T2}(ll) > 100$ GeV.",HEPData,1/1/2018,2018,,pub.1101062406,https://app.dimensions.ai/details/data_set/dataset.10544194,https://www.hepdata.net/record/82969,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
5752,5752,100,dataset.10554778,10.17182/hepdata.84716.v2/t64,"""m2_b2 all"" of ""Measurement of jet substructure observables in $\mathrm{t\overline{t}}$ events from proton-proton collisions at $\sqrt{s} =$ 13TeV""","Distribution of $M_{2}^{(2)}$ reconstructed from all particles with pt > 1 GeV, unfolded to the particle level.",HEPData,1/1/2019,2019,,pub.1110269358,https://app.dimensions.ai/details/data_set/dataset.10554778,https://www.hepdata.net/record/122797,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
6402,6402,100,dataset.10572846,10.17182/hepdata.85696.v1/t22,"""Table 22"" of ""Measurement of differential cross sections for the production of top quark pairs and of additional jets in lepton+jets events from pp collisions at $\sqrt{s} =$ 13 TeV""",Absolute cross section at particle level as a function of Additional jets vs. $p_\text{T}(\text{t}_\text{h})$.,HEPData,1/1/2018,2018,,pub.1104689093,https://app.dimensions.ai/details/data_set/dataset.10572846,https://www.hepdata.net/record/85976,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
13419,13419,100,dataset.363325,10.5517/cc87fb7,CCDC 245468: Experimental Crystal Structure Determination,"An entry from the Cambridge Structural Database, the world’s repository for small molecule crystal structures. The entry contains experimental data from a crystal diffraction study. The deposited dataset for this entry is freely available from the CCDC and typically includes 3D coordinates, cell parameters, space group, experimental conditions and quality measures.",The Cambridge Structural Database,1/1/2004,2004,"Eckert, N.A.; Smith, J.M.; Lachicotte, R.J.; Holland, P.L.",pub.1055556412,https://app.dimensions.ai/details/data_set/dataset.363325,http://www.ccdc.cam.ac.uk/services/structure_request?id=doi:10.5517/cc87fb7&sid=DataCite,,,,,,,,,
7849,7849,100,dataset.5308001,10.21430/m3m92y22fg,Anti-CD20 in SLE (AC002),The purpose of this study is to determine the safety and effectiveness of rituximab (anti-CD20) in treating systemic lupus erythematosus (SLE). White blood cells in the body called B cells give off substances that are active in promoting SLE disease. Researchers have found that anti-CD20 can block production of these substances in another disease. This study explores whether anti-CD20 will also be safe in people with SLE and whether it may be effective in treating SLE.,NIAID,1/1/2017,2017,"Eisenberg, Robert; ImmPort",pub.1042185231,https://app.dimensions.ai/details/data_set/dataset.5308001,https://www.immport.org/shared/study/SDY625,32 Biomedical and Clinical Sciences; 3204 Immunology; 36 Creative Arts and Writing,Autoimmune Disease; Lupus,Inflammatory and immune system,6.1 Pharmaceuticals,,Clinical Medicine and Science,Non-Hodgkin's Lymphoma,1.1 Normal Functioning; 5.3 Systemic Therapies - Discovery and Development,
343,343,100,dataset.58264220,10.17182/hepdata.100426.v1/t38,"""Figure 8b"" of ""Search for single production of a vector-like T quark decaying to a top quark and a Z boson in the final state with jets and missing transverse momentum at $ \sqrt{s} $ = 13 TeV""","Observed and expected 95% CL upper limits on the product of the cross section and branching fraction of a T decaying to a hadronic top quark and a Z boson to neutrinos as a function of the T mass, for a T with a width of 0.1 $ imes$ its mass.",HEPData,1/1/2022,2022,,pub.1148034532,https://app.dimensions.ai/details/data_set/dataset.58264220,https://www.hepdata.net/record/116180,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8163,8163,100,dataset.10554517,10.17182/hepdata.77014.v1/t24,"""Table 24"" of ""Multiplicity and rapidity dependence of strange hadron production in pp, pPb, and PbPb collisions at the LHC""",pT-dependent Xi+ + Xi- to Lambda+anti-Lambda production ratios in PbPb collisions with centre-of-mass energy/nucleon = 2.76 TeV.,HEPData,1/1/2017,2017,,pub.1083898279,https://app.dimensions.ai/details/data_set/dataset.10554517,https://www.hepdata.net/record/77464,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
8385,8385,100,dataset.10544052,10.17182/hepdata.76554.v1/t26,"""Table 26"" of ""Measurement of differential cross sections for top quark pair production using the lepton+jets final state in proton-proton collisions at 13 TeV""",Covariance matrix of absolute cross section at particle level.,HEPData,1/1/2017,2017,,pub.1085109590,https://app.dimensions.ai/details/data_set/dataset.10544052,https://www.hepdata.net/record/76587,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
1217,1217,100,dataset.57776808,10.17182/hepdata.110660.v1/t37,"""Fig017-a"" of ""Constraints on anomalous Higgs boson couplings to vector bosons and fermions in its production and decay using the four-lepton final state""",Example description,HEPData,1/1/2021,2021,,pub.1141198266,https://app.dimensions.ai/details/data_set/dataset.57776808,https://www.hepdata.net/record/114335,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
9578,9578,100,dataset.8599367,10.1371/journal.pgen.1005607.t003,"Previously published findings supporting involvement of candidate genes in craniofacial phenotypes, in alphabetic order by gene.","Previously published findings supporting involvement of candidate genes in craniofacial phenotypes, in alphabetic order by gene.",Public Library of Science,11/2/2015,2015,Luisa F. Pallares; Peter Carbonetto; Shyam Gopalakrishnan; Clarissa C. Parker; Cheryl L. Ackert-Bicknell; Abraham A. Palmer; Diethard Tautz,pub.1018404606,https://app.dimensions.ai/details/data_set/dataset.8599367,https://plos.figshare.com/articles/dataset/_Previously_published_findings_supporting_involvement_of_candidate_genes_in_craniofacial_phenotypes_in_alphabetic_order_by_gene_/1591448,32 Biomedical and Clinical Sciences; 32 Biomedical and Clinical Sciences; 3214 Pharmacology and Pharmaceutical Sciences,,,,,Basic Science,,,
2812,2812,100,dataset.25132638,10.17182/hepdata.93884.v1/t143,"""Figure 7-10"" of ""In-medium modification of dijets in PbPb collisions at $\sqrt{s_\mathrm{NN}} =$ 5.02 TeV""",Jet shapes for subleading jets in the 0-10 % centrality bin in PbPb collisions. The results are shown in different dijet momentum balance bins for the charged particle $p_{\mathrm{T}}$ bin $1 < p_{\mathrm{T}}^{\mathrm{ch}} < 2$ GeV.,HEPData,1/1/2021,2021,,pub.1138110484,https://app.dimensions.ai/details/data_set/dataset.25132638,https://www.hepdata.net/record/105191,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
11482,11482,100,dataset.10531485,10.17182/hepdata.60126.v1/t10,"""Table 10"" of ""Measurement of the $Y(1S), Y(2S)$ and $Y(3S)$ Polarizations in $pp$ Collisions at $\sqrt{s}=7$ TeV""",Distribution of Lambda-Theta in the HX frame for Y(1S) production in the |y| range 0.6-1.2.,HEPData,1/1/2013,2013,,pub.1039714695,https://app.dimensions.ai/details/data_set/dataset.10531485,https://www.hepdata.net/record/60153,49 Mathematical Sciences; 51 Physical Sciences; 5107 Particle and High Energy Physics,,,,,,,,
2811,2811,100,dataset.25132640,10.17182/hepdata.93884.v1/t144,"""Figure 7-11"" of ""In-medium modification of dijets in PbPb collisions at $\sqrt{s_\mathrm{NN}} =$ 5.02 TeV""",Jet shapes for subleading jets in the 10-30 % centrality bin in PbPb collisions. The results are shown in different dijet momentum balance bins for the charged particle $p_{\mathrm{T}}$ bin $1 < p_{\mathrm{T}}^{\mathrm{ch}} < 2$ GeV.,HEPData,1/1/2021,2021,,pub.1138110484,https://app.dimensions.ai/details/data_set/dataset.25132640,https://www.hepdata.net/record/105192,51 Physical Sciences; 51 Physical Sciences; 5106 Nuclear and Plasma Physics; 5107 Particle and High Energy Physics,,,,,,,,
10358,10358,100,dataset.10528346,10.17182/hepdata.67151.v1/t132,"""Table 132"" of ""Evidence for transverse momentum and pseudorapidity dependent event plane fluctuations in PbPb and pPb collisions""","The $\eta$-dependent factorization ratio, $r_{3}$, as a function of $\eta^{a}$ for 3.0",HEPData,1/1/2015,2015,,pub.1046700402,https://app.dimensions.ai/details/data_set/dataset.10528346,https://www.hepdata.net/record/67287,49 Mathematical Sciences; 49 Mathematical Sciences; 4902 Mathematical Physics; 51 Physical Sciences,,,,,,,,
