author(s),publisher,keywords,title,publicationYear,publisher_categories
medina afandiyeva; abhishek a. kadam; xijue wu; william w. brennessel; c. rose kennedy,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis, structure, and hydroboration reactivity
of anionic nickel(0) complexes supported by bidentate nhc-pyridone
ligands",2022,scientific
indika chandrasiri; yuxuan liu; emmanuela adjei-sowah; baixue xiao; danielle s. w. benoit,frontiers,34 chemical sciences; 34 chemical sciences; 3403 macromolecular and materials chemistry; 3405 organic chemistry; 40 engineering,datasheet1_reproducible and controlled peptide functionalization of polymeric nanoparticles.docx,2022,scientific
e. l. isenstein; t. waz; a. loprete; y. hernandez; e. j. knight; a. busza; d. tadin,public library of science,52 psychology; 52 psychology; 5202 biological psychology,descriptions of patients included in recent stroke cohort.,2022,scientific
panagiotis tsoutsanis,cranfield university,40 engineering; 40 engineering; 4015 maritime engineering,data supporting: a relaxed a posteriori mood algorithm for multicomponent compressible flows using high-order finite-volume methods on unstructured meshes,2022,general
weiguang wang; natasha z. foutz; guodong (gordon) gao,public library of science,0,demographics of the six cities under study.,2022,scientific
stacy e. f. melanson; zhen zhao; attila kumanovics; tanzy love; qing h. meng; alan h. b. wu; fred apple; caitlin r. ondracek; karen m. schulz; joseph r. wiencek; david koch; robert christenson; y. victoria zhang,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,data_sheet_1_tolerance for three commonly administered covid-19 vaccines by healthcare professionals.docx,2022,scientific
lisa m. makowski; thomas h. rammsayer; duje tadin; philipp thomas; stefan j. troche,public library of science,46 information and computing sciences; 52 psychology; 5202 biological psychology,"descriptive statistics for the motion-direction detection thresholds in the four conditions of the spatial suppression task, for the difference limina in the duration discrimination tasks (dde, ddf), for the dispersion index in the temporal generalization task (tg), and the mean 75% difference threshold in the rhythm perception (rp) task in the sample of 273 participants.",2022,scientific
layne n. rodden; christian rummey; yi na dong; sarah lagedrost; sean regner; alicia brocht; khalaf bushara; martin b. delatycki; christopher m. gomez; katherine mathews; sarah murray; susan perlman; bernard ravina; s. h. subramony; george wilmot; theresa zesiewicz; alessandra bolotta; alain domissy; christine jespersen; baohu ji; elisabetta soragni; joel m. gottesfeld; david r. lynch,frontiers,31 biological sciences; 31 biological sciences; 3105 genetics,datasheet1_a non-synonymous single nucleotide polymorphism in sirt6 predicts neurological severity in friedreich ataxia.pdf,2022,scientific
xin liu; jimmy j. yao; zhongxuan chen; wei lei; rong duan; zhenqiang yao,frontiers,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3211 oncology and carcinogenesis,datasheet_1_lipopolysaccharide sensitizes the therapeutic response of breast cancer to iap antagonist.doc,2022,scientific
caitlyn b. brashears; bethany c. prudner; richa rathore; katharine e. caldwell; carina a. dehner; jane l. buchanan; sara e.s. lange; neal poulin; jennifer k. sehn; jason roszik; dirk spitzer; kevin b. jones; regis okeefe; torsten o. nielsen; eric b. taylor; jason m. held; william hawkins; brian a. van tine,american association for cancer research,"30 agricultural, veterinary and food sciences; 3006 food sciences; 31 biological sciences",supplementary table from malic enzyme 1 absence in synovial sarcoma shifts antioxidant system dependence and increases sensitivity to ferroptosis induction with acxt-3102,2022,medical/health
yuqing jiang; yuhao shi; deping hu; qian peng; guangxi huang; bing shi li,american chemical society,34 chemical sciences; 34 chemical sciences; 3407 theoretical and computational chemistry,"insight into
isomeric effect on the photoluminescence
and mechanoluminescence of cyanostilbene derivatives",2022,scientific
david a. paul; alejandra rodrigue; nicholas contento; sam haber; ricky hoang; redi rahmani; adnan hirad; ismat shafiq; zoë williams; g. edward vates,public library of science,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3212 ophthalmology and optometry,characteristics of the study population including mean deviation recorded by humphrey 24–2 automated perimetry.,2022,scientific
alissa trzeciak; raj kumar mongre; ma rie kim; kihong lim; rafael a. madero; christopher n. parkhurst; anthony p. pietropaoli; minsoo kim,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,datasheet_1_neutrophil heterogeneity in complement c1q expression associated with sepsis mortality.pdf,2022,scientific
isabelle boni; julian jara-ettinger; sophie sackstein; steven t. piantadosi,public library of science,"39 education; 39 education; 3902 education policy, sociology and philosophy",output for regression: lister-level ∼ giver-level + education.,2022,scientific
montaser n alqutub; yasser alali; huda i. tulbah; fawad javed; fahim vohra; tariq abduljabbar,scielo journals,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3203 dentistry,peri-implant clinicoradiographic status among betel-quid chewers and controls,2022,scientific
marcio covas moschovas; isabella brady; jonathan noel; mahmoud abou zeinab; aaron kaviani; jihad kaouk; simone crivellaro; jean joseph; alexandre mottrie; vipul patel,scielo journals,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,contemporary techniques of da vinci sp radical prostatectomy: multicentric collaboration and expert opinion,2022,scientific
azmeer sharipol; maggie l. lesch; celia a. soto; benjamin j. frisch,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3201 cardiovascular medicine and haematology; 40 engineering; 40 engineering; 4003 biomedical engineering,datasheet1_bone marrow microenvironment-on-chip for culture of functional hematopoietic stem cells.pdf,2022,scientific
arwa younis; nofrat nehoray; michael glikson; christopher bodurian; eyal nof; nicola luigi bragazzi; michael berger; wojciech zareba; ilan goldenberg; roy beinart,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences,data_sheet_1_qtc dynamics following cardioversion for persistent atrial fibrillation.pdf,2022,scientific
takeshi kawabe; thomas ciucci; kwang soon kim; shunichi tayama; akihisa kawajiri; takumi suzuki; riou tanaka; naoto ishii; dragana jankovic; jinfang zhu; jonathan sprent; rémy bosselut; alan sher,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3204 immunology,"datasheet_1_redefining the foreign antigen and self-driven memory cd4+ t-cell compartments via transcriptomic, phenotypic, and functional analyses.pdf",2022,scientific
"jacob
a. iannuzzelli; john-paul bacik; eric j. moore; zhuofan shen; ellen m. irving; david a. vargas; sagar d. khare; nozomi ando; rudi fasan",american chemical society,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology; 34 chemical sciences,"tuning enzyme thermostability via computationally
guided covalent stapling and structural basis of enhanced stabilization",2022,scientific
xinhai ye; shijiao xiong; ziwen teng; yi yang; jiale wang; kaili yu; huizi wu; yang mei; cheng xue; zhichao yan; chuanlin yin; fang wang; hongwei yao; qi fang; qisheng song; gongyin ye; fei li,springer nature,31 biological sciences; 31 biological sciences; 3102 bioinformatics and computational biology; 3105 genetics,additional file 1 of genome of the parasitoid wasp cotesia chilonis sheds light on amino acid resource exploitation,2022,geology/environment
john q. bettinger; matthew simon; anatoly korotkov; kevin a. welle; jennifer r. hryhorenko; andrei seluanov; vera gorbunova; sina ghaemmaghami,american chemical society,31 biological sciences; 31 biological sciences; 3101 biochemistry and cell biology,"accurate proteomewide
measurement of methionine oxidation
in aging mouse brains",2022,scientific
thomas n. o’connor; jacob g. kallenbach; haley m. orciuoli; nicole d. paris; john f. bachman; carl j. johnston; eric hernady; jacqueline p. williams; robert t. dirksen; joe v. chakkalakal,springer nature,42 health sciences; 42 health sciences; 4207 sports science and exercise,additional file 1 of endurance exercise attenuates juvenile irradiation-induced skeletal muscle functional decline and mitochondrial stress,2022,geology/environment
thomas w. johnson; irfaan a. dar; kelly l. donohue; yama y. xu; esmeralda santiago; olga selioutski; mark a. marinescu; ross k. maddox; tong tong wu; giovanni schifitto; igor gosev; regine choe; imad r. khan,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3201 cardiovascular medicine and haematology,data_sheet_1_cerebral blood flow hemispheric asymmetry in comatose adults receiving extracorporeal membrane oxygenation.docx,2022,scientific
sami leon; jingxuan ren; regine choe; tong tong wu,public library of science,0,s1 data -,2022,scientific
yan zeng; ahmed fadaak; nora alomeir; tong tong wu; elena rustchenko; shuang qing; jianhang bao; christie gilbert; jin xiao,frontiers,31 biological sciences; 31 biological sciences; 3107 microbiology; 32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3203 dentistry,datasheet_1_lactobacillus plantarum disrupts s. mutans–c. albicans cross-kingdom biofilms.docx,2022,scientific
shrilekha vedhakrishnan; maria vinas; clara benedi-garcia; pilar casado; susana marcos,public library of science,32 biomedical and clinical sciences; 42 health sciences; 42 health sciences; 4201 allied health and rehabilitation science,individual refractive profile of the subjects of the two groups (young adults and presbyopes).,2022,scientific
christina crabtree-ide; nick sevdalis; patricia bellohusen; louis s. constine; fergal fleming; david holub; irfan rizvi; jennifer rodriguez; michelle shayne; nancy termer; ken tomaszewski; katia noyes,frontiers,32 biomedical and clinical sciences; 32 biomedical and clinical sciences; 3202 clinical sciences; 42 health sciences; 42 health sciences; 4203 health services and systems,data_sheet_1_strategies for improving access to cancer services in rural communities: a pre-implementation study.docx,2022,scientific
