,publisher,publisher_categories,author(s),title,publicationYear,keywords,tot_appearances,tot_pubYrs,tot_authors,tot_publishers
249,arxiv,Math/physics/computerScience,"cline, james m.; mcgill university",creating matter at the electroweak phase transition,1995, high energy physics - phenomenology (hep-ph),4,2,4,1
250,arxiv,Math/physics/computerScience,"cline, james m.; mcgill university",creating matter at the electroweak phase transition,1995, fos: physical sciences,15,9,15,1
253,arxiv,Math/physics/computerScience,"cline, james m.; mcgill university",creating matter at the electroweak phase transition,1995, fields of science and technology (fos),20,12,20,2
256,arxiv,Math/physics/computerScience,"doncheski, michael a.; carleton university",fragmentation production of heavy quark states,1995, high energy physics - phenomenology (hep-ph),4,2,4,1
257,arxiv,Math/physics/computerScience,"doncheski, michael a.; carleton university",fragmentation production of heavy quark states,1995, fos: physical sciences,15,9,15,1
260,arxiv,Math/physics/computerScience,"doncheski, michael a.; carleton university",fragmentation production of heavy quark states,1995, fields of science and technology (fos),20,12,20,2
263,arxiv,Math/physics/computerScience,"porter, b.; auchincloss, p.; de barbaro, p.; bodek, a.; budd, h.",a study of an acrylic cerenkov radiation detector,1999,   physics education (physics.ed-ph),2,1,2,1
264,arxiv,Math/physics/computerScience,"porter, b.; auchincloss, p.; de barbaro, p.; bodek, a.; budd, h.",a study of an acrylic cerenkov radiation detector,1999, high energy physics - experiment (hep-ex),3,2,3,1
266,arxiv,Math/physics/computerScience,"porter, b.; auchincloss, p.; de barbaro, p.; bodek, a.; budd, h.",a study of an acrylic cerenkov radiation detector,1999, fos: physical sciences,15,9,15,1
271,arxiv,Math/physics/computerScience,"porter, b.; auchincloss, p.; de barbaro, p.; bodek, a.; budd, h.",a study of an acrylic cerenkov radiation detector,1999, fields of science and technology (fos),20,12,20,2
274,arxiv,Math/physics/computerScience,"voloshina, maria s.",on the holomorph of a discrete group,2003,   group theory (math.gr),1,1,1,1
275,arxiv,Math/physics/computerScience,"voloshina, maria s.",on the holomorph of a discrete group,2003, algebraic topology (math.at),1,1,1,1
276,arxiv,Math/physics/computerScience,"voloshina, maria s.",on the holomorph of a discrete group,2003, fos: mathematics,4,3,4,1
287,arxiv,Math/physics/computerScience,"voloshina, maria s.",on the holomorph of a discrete group,2003, fields of science and technology (fos),20,12,20,2
291,arxiv,Math/physics/computerScience,"bhandari, rajendra",nonachromaticity and reversals of topological phase as a function of wavelength,2003,  optics (physics.optics),2,2,2,1
292,arxiv,Math/physics/computerScience,"bhandari, rajendra",nonachromaticity and reversals of topological phase as a function of wavelength,2003, quantum physics (quant-ph),1,1,1,1
293,arxiv,Math/physics/computerScience,"bhandari, rajendra",nonachromaticity and reversals of topological phase as a function of wavelength,2003, fos: physical sciences,15,9,15,1
297,arxiv,Math/physics/computerScience,"bhandari, rajendra",nonachromaticity and reversals of topological phase as a function of wavelength,2003, fields of science and technology (fos),20,12,20,2
300,arxiv,Math/physics/computerScience,"krishnaswami, govind s.,",large-n limit as a classical limit: baryon in two-dimensional qcd and multi-matrix models,2004, high energy physics - theory (hep-th),2,2,2,1
301,arxiv,Math/physics/computerScience,"krishnaswami, govind s.,",large-n limit as a classical limit: baryon in two-dimensional qcd and multi-matrix models,2004, fos: physical sciences,15,9,15,1
304,arxiv,Math/physics/computerScience,"krishnaswami, govind s.,",large-n limit as a classical limit: baryon in two-dimensional qcd and multi-matrix models,2004, fields of science and technology (fos),20,12,20,2
307,icpsr,Social Science,"donelan-mccall, nancy;  university of colorado", extending the analysis of nurse family partnership on maternal and child mortality,2022,  infant mortality,1,1,1,1
308,icpsr,Social Science,"donelan-mccall, nancy;  university of colorado", extending the analysis of nurse family partnership on maternal and child mortality,2022, maternal mortality,1,1,1,1
309,arxiv,Math/physics/computerScience,"kowarz, marek w.",diffraction effects in the near field,2006,  optics (physics.optics),2,2,2,1
310,arxiv,Math/physics/computerScience,"kowarz, marek w.",diffraction effects in the near field,2006, computational physics (physics.comp-ph),1,1,1,1
311,arxiv,Math/physics/computerScience,"kowarz, marek w.",diffraction effects in the near field,2006, fos: physical sciences,15,9,15,1
315,arxiv,Math/physics/computerScience,"kowarz, marek w.",diffraction effects in the near field,2006, fields of science and technology (fos),20,12,20,2
318,arxiv,Math/physics/computerScience,"mezzadri, francesco",how to generate random matrices from the classical compact groups,2006,   mathematical physics (math-ph),1,1,1,1
319,arxiv,Math/physics/computerScience,"mezzadri, francesco",how to generate random matrices from the classical compact groups,2006, numerical analysis (math.na),1,1,1,1
320,arxiv,Math/physics/computerScience,"mezzadri, francesco",how to generate random matrices from the classical compact groups,2006, fos: physical sciences,15,9,15,1
322,arxiv,Math/physics/computerScience,"mezzadri, francesco",how to generate random matrices from the classical compact groups,2006, fos: mathematics,4,3,4,1
325,arxiv,Math/physics/computerScience,"mezzadri, francesco",how to generate random matrices from the classical compact groups,2006,15a52,1,1,1,1
329,arxiv,Math/physics/computerScience,"mezzadri, francesco",how to generate random matrices from the classical compact groups,2006, fields of science and technology (fos),20,12,20,2
336,arxiv,Math/physics/computerScience,"giacomelli, g.",early work on pion-nucleon scattering at rochester,2012,  history and philosophy of physics (physics.hist-ph),1,1,1,1
337,arxiv,Math/physics/computerScience,"giacomelli, g.",early work on pion-nucleon scattering at rochester,2012, high energy physics - experiment (hep-ex),3,2,3,1
338,arxiv,Math/physics/computerScience,"giacomelli, g.",early work on pion-nucleon scattering at rochester,2012, fos: physical sciences,15,9,15,1
342,arxiv,Math/physics/computerScience,"giacomelli, g.",early work on pion-nucleon scattering at rochester,2012, fields of science and technology (fos),20,12,20,2
345,arxiv,Math/physics/computerScience,"mcmurtry, craig; lee, donald; beletic, james; chen, chi-yi a.; demers, richard t.; dorn, meghan; edwall, dennis; fazar, candice bacon; forrest, william j.; liu, fengchuan; mainzer, amanda k.; pipher, judith l.; yulius, aristo",development of sensitive long-wave infrared detector arrays for passively cooled space missions,2013, instrumentation and methods for astrophysics (astro-ph.im),1,1,1,1
346,arxiv,Math/physics/computerScience,"mcmurtry, craig; lee, donald; beletic, james; chen, chi-yi a.; demers, richard t.; dorn, meghan; edwall, dennis; fazar, candice bacon; forrest, william j.; liu, fengchuan; mainzer, amanda k.; pipher, judith l.; yulius, aristo",development of sensitive long-wave infrared detector arrays for passively cooled space missions,2013, fos: physical sciences,15,9,15,1
349,arxiv,Math/physics/computerScience,"mcmurtry, craig; lee, donald; beletic, james; chen, chi-yi a.; demers, richard t.; dorn, meghan; edwall, dennis; fazar, candice bacon; forrest, william j.; liu, fengchuan; mainzer, amanda k.; pipher, judith l.; yulius, aristo",development of sensitive long-wave infrared detector arrays for passively cooled space missions,2013, fields of science and technology (fos),20,12,20,2
353,arxiv,Math/physics/computerScience,"aten, c.; ayachi, b.; bau, e.; fitzpatrick, d.; iosevich, a.; liu, h.; lott, a.; mackinnon, i.; maimon, s.; nan, s.; pakianathan, j.; petridis, g.; mena, c. rojas; sheikh, a.; tribone, t.; weill, j.; yu, c.",tiling sets and spectral sets over finite fields,2015, combinatorics (math.co),2,1,2,1
354,arxiv,Math/physics/computerScience,"aten, c.; ayachi, b.; bau, e.; fitzpatrick, d.; iosevich, a.; liu, h.; lott, a.; mackinnon, i.; maimon, s.; nan, s.; pakianathan, j.; petridis, g.; mena, c. rojas; sheikh, a.; tribone, t.; weill, j.; yu, c.",tiling sets and spectral sets over finite fields,2015, number theory (math.nt),2,1,2,1
355,arxiv,Math/physics/computerScience,"aten, c.; ayachi, b.; bau, e.; fitzpatrick, d.; iosevich, a.; liu, h.; lott, a.; mackinnon, i.; maimon, s.; nan, s.; pakianathan, j.; petridis, g.; mena, c. rojas; sheikh, a.; tribone, t.; weill, j.; yu, c.",tiling sets and spectral sets over finite fields,2015, fos: mathematics,4,3,4,1
363,arxiv,Math/physics/computerScience,"aten, c.; ayachi, b.; bau, e.; fitzpatrick, d.; iosevich, a.; liu, h.; lott, a.; mackinnon, i.; maimon, s.; nan, s.; pakianathan, j.; petridis, g.; mena, c. rojas; sheikh, a.; tribone, t.; weill, j.; yu, c.",tiling sets and spectral sets over finite fields,2015, fields of science and technology (fos),20,12,20,2
367,dryad,general,"haselkorn, tamara s.; cockburn, sarah n.; hamilton, phineas t.; perlman, steve. J; jaenike, john; university of rochester; university of victoria",data from: infectious adaptation: potential host range of a defensive endosymbiont in drosophila,2012,symbiosis,3,1,3,1
370,university of rochester,general,"cardinal, susan; siddiqui, sarah; tennis, allegra;  university of rochester; https://orcid.org/0000-0002-0964-8853","\\,  the classroom for pltl workshop leaders",2023,education,4,2,4,2
371,university of rochester,general,"cardinal, susan; siddiqui, sarah; tennis, allegra;  university of rochester; https://orcid.org/0000-0002-0964-8853","\\,  the classroom for pltl workshop leaders",2023, information and computing sciences,3,1,3,1
376,university of rochester,general,"cardinal, susan; siddiqui, sarah; tennis, allegra;  university of rochester; https://orcid.org/0000-0002-0964-8853","\\,  the classroom for pltl workshop leaders",2023, 39,4,1,4,1
377,university of rochester,general,"cardinal, susan; siddiqui, sarah; tennis, allegra;  university of rochester; https://orcid.org/0000-0002-0964-8853","\\,  the classroom for pltl workshop leaders",2023, 46,5,1,5,1
379,humanities commons,Social Science,"stuber, tracy",the alfred stieglitz collection,2019,art,2,1,2,1
380,humanities commons,Social Science,"stuber, tracy",the alfred stieglitz collection,2019, library science,2,1,2,1
381,humanities commons,Social Science,"stuber, tracy",the alfred stieglitz collection,2019, fast,3,1,3,1
383,databrary,Social Science,"bergelson, elika; duke university",seedlings 6 month,2017,lexicon,2,1,2,1
384,databrary,Social Science,"bergelson, elika; duke university",seedlings 6 month,2017, environmental effects,2,1,2,1
386,databrary,Social Science,"bergelson, elika; duke university",seedlings 6 month,2017, word learning,2,1,2,1
387,databrary,Social Science,"bergelson, elika; duke university",seedlings 6 month,2017, language acquisition,2,1,2,1
388,institute of mathematical statistics,Math/physics/computerScience,"banerjee, moulinath; samworth, richard j moulinath",a conversation with jon wellner,2018,conversation,2,1,2,1
389,institute of mathematical statistics,Math/physics/computerScience,"banerjee, moulinath; samworth, richard j moulinath",a conversation with jon wellner,2018, empirical processes,2,1,2,1
390,institute of mathematical statistics,Math/physics/computerScience,"banerjee, moulinath; samworth, richard j moulinath",a conversation with jon wellner,2018, semiparametric theory,2,1,2,1
